,YearStart,YearEnd,LocationAbbr,Topic,Question,DataValueType,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,DataValueTypeID,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3,Latitude,Longitude,HealthCluster
50252,2021,2021,GU,Arthritis,Arthritis among adults,Crude Prevalence,5.8,3.6,9.2,Age,Age 18-44,66,CRDPREV,,,,,13.444304,144.793731,3
50253,2021,2021,IA,Cardiovascular Disease,High cholesterol among adults who have been screened,Crude Prevalence,38.9,36.7,41.1,Age,Age 45-64,19,CRDPREV,,,,,42.46940091300047,-93.81649055599968,0
50254,2021,2021,ID,"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among high school students,Crude Prevalence,6.1,3.5,10.6,Grade,Grade 10,16,CRDPREV,,,,,43.682630005000476,-114.3637300419997,2
50255,2021,2021,ID,Disability,Adults with any disability,Crude Prevalence,30.6,29.2,32.0,Overall,Overall,16,CRDPREV,,,,,43.682630005000476,-114.3637300419997,2
50256,2021,2021,KY,Arthritis,Arthritis among adults,Crude Prevalence,29.3,17.2,45.3,Race/Ethnicity,"Multiracial, non-Hispanic",21,CRDPREV,,,,,37.645970271000465,-84.77497104799966,1
50257,2021,2021,IL,Tobacco,Quit attempts in the past year among adult current smokers,Crude Prevalence,50.8,43.1,58.4,Overall,Overall,17,CRDPREV,,,,,40.48501028300046,-88.99771017799969,0
50258,2021,2021,HI,Arthritis,Physical inactivity among adults with arthritis,Crude Prevalence,26.5,22.2,31.3,Age,Age 45-64,15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50259,2021,2021,IN,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,Crude Prevalence,71.1,68.7,73.4,Sex,Female,18,CRDPREV,,,,,39.766910452000445,-86.14996019399968,2
50260,2021,2021,IA,Diabetes,Diabetes among adults,Crude Prevalence,3.1,2.4,3.9,Age,Age 18-44,19,CRDPREV,,,,,42.46940091300047,-93.81649055599968,0
50261,2021,2021,IN,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,Crude Prevalence,60.2,56.9,63.3,Sex,Male,18,CRDPREV,,,,,39.766910452000445,-86.14996019399968,2
50262,2021,2021,KS,"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among adults,Crude Prevalence,41.0,36.9,45.2,Race/Ethnicity,Hispanic,20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50263,2021,2021,KS,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,Crude Prevalence,15.7,11.7,20.6,Race/Ethnicity,"Black, non-Hispanic",20,CRDPREV,,,,,38.34774030000045,-98.20078122699965,2
50264,2021,2022,HI,Cognitive Health and Caregiving,Provided care for a friend or family member in the past month among adults,Crude Prevalence,23.9,21.5,26.5,Age,Age 45-64,15,CRDPREV,,,,,21.304850435000446,-157.85774940299973,0
50265,2021,2021,GA,Arthritis,Arthritis among adults,Crude Prevalence,20.8,19.1,22.7,Sex,Male,13,CRDPREV,,,,,32.83968109300048,-83.62758034599966,2
50266,2021,2021,IL,Alcohol,Binge drinking prevalence among adults,Crude Prevalence,11.4,9.5,13.5,Sex,Female,17,CRDPREV,,,,,40.48501028300046,-88.99771017799969,0
